peak_name,elevation_ft,summit_lat,summit_lon,trailhead_name,trailhead_lat,trailhead_lon
Cement Mountain,12185,38.8072926,-106.8136386,,,
South Matchless Mountain,12192,38.8166975,-106.6616471,,,
Matchless Mountain,12339,38.834087,-106.6451505,,,
Park Cone,12060,38.796554,-106.6028184,,,
Henry Mountain,13238,38.6855432,-106.6211323,,,
Broncho Mountain,12789,38.6856607,-106.5893575,,,
Square Top Mountain,12890,38.6795159,-106.6110463,,,
Fossil Mountain,12707,38.6706368,-106.6060248,,,
Sheep Mountain,12175,38.6567813,-106.5960246,,,
Terrible Mountain,12116,38.6660756,-106.537548,,,
Green Mountain,12608,38.6776658,-106.5076254,,,
Fairview Peak,13143,38.6832545,-106.5368143,,,
Cameron Mountain,11804,38.7038769,-106.5677974,,,
Cross Mountain,12457,38.7259218,-106.5872852,,,
Ice Mountain,13816,38.9149329,-106.4372168,,,
Mount Kreutzer,12979,38.7567163,-106.415521,,,
Jones Mountain,13182,38.7732688,-106.39403,,,
Winfield Peak,13025,38.9758202,-106.481503,,,
Virginia Peak,12904,38.9651537,-106.4829429,,,
Cross Mountain,12740,38.9728484,-106.4266813,,,
Middle Mountain,13012,38.9679485,-106.4306132,,,
Browns Peak,13373,38.9558866,-106.43666,,,
Huron Peak,14006,38.9455489,-106.4381146,,,
Granite Mountain,12776,38.9403985,-106.4716396,,,
The Three Apostles,13816,38.9148742,-106.437164,,,
Emerald Peak,13806,38.9290437,-106.3811686,,,
Iowa Peak,13691,38.9395884,-106.382833,,,
Missouri Mountain,14071,38.9476104,-106.3785409,,,
Mount Belford,14202,38.9605767,-106.3607818,,,
Mount Oxford,14158,38.9647934,-106.3387735,,,
Waverly Mountain,13255,38.9759545,-106.3238578,,,
Mount Harvard,14424,38.9243492,-106.3206758,,,
Birthday Peak,12684,38.8815278,-106.333945,,,
Mount Yale,14200,38.8441725,-106.3139015,,,
Sheep Mountain,11880,38.7916464,-106.2716341,,,
West Buffalo Peak,13287,38.9919314,-106.1245077,,,
East Buffalo Peak,13238,38.9872106,-106.1094516,,,
Fitzpatrick Peak,13074,38.6982356,-106.4516629,,,
Emma Burr Mountain,13425,38.7335434,-106.4167273,,,
Mount Aetna,13681,38.5863437,-106.3206359,,,
Taylor Mountain,13481,38.583365,-106.2995017,,,
Missouri Hill,12661,38.5856954,-106.2751841,,,
Lost Mountain,12500,38.5845456,-106.2652076,,,
Carbonate Mountain,13543,38.6268465,-106.2855536,,,
Calico Mountain,12867,38.6198682,-106.3126532,,,
Cyclone Mountain,13570,38.6333239,-106.2924721,,,
Grizzly Mountain,13675,38.6456728,-106.3113817,,,
Boulder Mountain,13435,38.6802012,-106.2928128,,,
Chrysolite Mountain,12743,38.6660481,-106.3448886,,,
Pomeroy Mountain,13097,38.6272123,-106.3414853,,,
Sewanee Peak,12986,38.6110845,-106.3438339,,,
Granite Mountain,12507,38.58752,-106.3976862,,,
Monumental Peak,13238,38.5925739,-106.3580714,,,
Central Mountain,12372,38.6016135,-106.3781554,,,
Mount Mamma,13524,38.6765384,-106.3175526,,,
Mount Chapman,12713,38.6255981,-106.3856183,,,
Van Wirt Mountain,12884,38.6059333,-106.3647358,,,
Brittle Silver Mountain,12372,38.6054113,-106.3738622,,,
Paywell Mountain,12260,38.6039289,-106.3863816,,,
Vulcan Mountain,12822,38.5769513,-106.3517694,,,
Clover Mountain,12894,38.5683217,-106.344707,,,
Stella Mountain,12543,38.577499,-106.4031562,,,
Bald Mountain,12795,38.552633,-106.3505266,,,
Banana Mountain,12283,38.5488626,-106.3355077,,,
Mount Shavano,14230,38.6189805,-106.2392197,,,
Jones Peak,13455,38.6313247,-106.2251498,,,
Mount White,13517,38.6568616,-106.2374875,,,
Mount Antero,14271,38.6740472,-106.2462488,,,
Mount Princeton,14200,38.7491503,-106.2424463,,,
Sheep Mountain,12080,37.9467189,-106.7315899,,,
Mesa Mountain,12956,37.9036412,-106.6350951,,,
Bowers Peak,12438,37.9508245,-106.5894942,,,
Boot Mountain,12395,37.920209,-106.5414384,,,
Pool Table Mountain,12215,37.8297169,-106.6919756,,,
Pahlone Peak,12615,38.4806649,-106.2582183,,,
Mount Peck,12182,38.4772637,-106.3035821,,,
Peel Point,12110,38.4621376,-106.2889884,,,
Sawtooth Mountain,12119,38.273944,-106.8674479,,,
Long Branch Baldy,11955,38.3221025,-106.4738221,,,
Windy Peak,11844,38.3519373,-106.265292,,,
Mount Ouray,13881,38.4227445,-106.224689,,,
Whale Hill,12159,38.3216091,-106.1033039,,,
Mount Manitou,12100,38.3299257,-106.1144757,,,
Flagstaff Mountain,12047,38.2755915,-106.1996072,,,
Antora Peak,13225,38.3249764,-106.2181113,,,
Hayden Peak,11991,38.2749934,-106.1039417,,,
Round Mountain,12001,38.3414659,-106.1245189,,,
Sheep Mountain,12749,38.3333518,-106.2140933,,,
Chipeta Mountain,13369,38.4477617,-106.2407153,,,
Willow Mesa,12493,38.0311083,-106.9081254,,,
Baldy Chato,13346,38.0387941,-106.9419999,,,
Stewart Peak,13921,38.0229514,-106.9236042,,,
Baldy Alto,13609,38.0053017,-106.9215083,,,
Del Norte Peak,12382,37.5897211,-106.5633636,,,
Poison Mountain,11975,37.5106908,-106.4488093,,,
San Luis Peak,14023,37.9867825,-106.9312952,,,
Nelson Mountain,12087,37.9149619,-106.9367856,,,
Organ Mountain,13655,37.9911957,-106.8952915,,,
Twin Peaks,12316,37.9278644,-106.7718042,,,
Table Mountain,12654,37.5856801,-106.8535157,,,
Sawtooth Mountain,12434,37.5659128,-106.8774475,,,
Mount Hope,12726,37.5435381,-106.8707378,,,
Metroz Mountain,11906,37.6189737,-106.8175713,,,
Fisher Mountain,12799,37.6570329,-106.9374489,,,
Copper Mountain,11936,37.6994816,-106.8853743,,,
Trout Mountain,11900,37.6631391,-106.7917842,,,
Beautiful Mountain,12726,37.6173455,-106.9274462,,,
South River Peak,13038,37.574041,-106.9815081,,,
Prospect Mountain,12195,37.385057,-106.6271009,,,
Lookout Mountain,12441,37.3895862,-106.5926981,,,
Cropsy Mountain,12500,37.4087871,-106.5963097,,,
Elephant Mountain,11801,37.4133284,-106.5611402,,,
South Mountain,12464,37.4193153,-106.6014607,,,
North Mountain,12677,37.4505444,-106.6046452,,,
Bonito Mountain,12149,37.4470975,-106.5332342,,,
Burro Mountain,12093,37.4452774,-106.5161395,,,
Grayback Mountain,12608,37.4610877,-106.5572942,,,
Cornwall Mountain,12313,37.3810936,-106.4919927,,,
Silver Mountain,12326,37.4311326,-106.421565,,,
Marble Mountain,12113,37.4613766,-106.4823563,,,
Sheep Mountain,12487,37.4622672,-106.4381897,,,
Windy Mountain,12549,37.4661102,-106.4019704,,,
Bennett Peak,13176,37.4833324,-106.4339159,,,
Pintada Mountain,12772,37.49687,-106.4025489,,,
Summit Peak,13156,37.3504765,-106.696844,,,
Montezuma Peak,13127,37.3731471,-106.6915895,,,
Conejos Peak,13025,37.2886454,-106.5708586,,,
Willow Mountain,11900,37.3257647,-106.427204,,,
Red Mountain,11896,37.3441198,-106.4392944,,,
Blackhead Peak,12434,37.2890029,-106.7740529,,,
Nipple Mountain,11962,37.2965411,-106.7716711,,,
Saddle Mountain,11919,37.4406464,-106.9578957,,,
Sheep Mountain,12306,37.4797288,-106.9019555,,,
Chama Peak,11903,37.0403167,-106.6289351,,,
Banded Peak,12730,37.1047901,-106.6270978,,,
Sentinel Point,12365,38.8404047,-105.1044146,,,
Sachett Mountain,12572,38.8210488,-105.0238989,,,
Sheep Mountain,12362,38.7930201,-105.0544535,,,
Hunts Peak,12995,38.3831653,-105.9456659,,,
Twin Sisters,12766,38.3524993,-105.9018959,,,
Bushnell Peak,12963,38.3413305,-105.8894663,,,
Nipple Mountain,12152,38.2663644,-105.7971763,,,
Galena Peak,12356,38.3086454,-105.8687816,,,
Red Mountain,12874,38.3676356,-105.920453,,,
Simmons Peak,11998,38.4207571,-105.9839563,,,
Rito Alto Peak,13720,38.1028552,-105.6613426,,,
Hermit Peak,13192,38.0913219,-105.6550621,,,
Spread Eagle Peak,13258,38.1252369,-105.6435197,,,
Gibson Peak,12792,38.0732512,-105.7124365,,,
Eureka Mountain,13389,38.0788557,-105.640726,,,
Venable Peak,13261,38.054987,-105.62974,,,
Mount Owen,13287,38.1390672,-105.7138646,,,
Thirsty Peak,13071,38.2093525,-105.7363423,,,
Eagle Peak,13133,38.2295131,-105.722325,,,
Electric Peak,13491,38.1817942,-105.7082234,,,
Mount Niehardt,12799,38.1764827,-105.7198475,,,
Cottonwood Peak,13448,38.2193019,-105.7563867,,,
Spring Mountain,12651,38.05603,-105.6124742,,,
Comanche Peak,13140,38.0427542,-105.614869,,,
Horn Peak,13278,38.0386046,-105.5861083,,,
Little Horn Peak,12949,38.025136,-105.5839066,,,
Fluted Peak,13448,38.0244548,-105.6014082,,,
Mount Adams,13770,38.0074935,-105.6047205,,,
Colony Baldy,13625,37.9954733,-105.5603276,,,
Crestone Peak,14299,37.9668126,-105.5853945,,,
Humboldt Peak,14068,37.9761388,-105.5550716,,,
Broken Hand Peak,13366,37.9568452,-105.566751,,,
Milwaukee Peak,13373,37.9477379,-105.5513657,,,
Pico Aislado,13287,37.9443552,-105.5589626,,,
Music Mountain,13150,37.9366607,-105.5486848,,,
Marble Mountain,13081,37.9550532,-105.5332571,,,
Cleveland Peak,13196,37.9044132,-105.5432036,,,
Blueberry Peak,11877,37.903438,-105.478426,,,
Blizzardine Peak,11860,37.9004206,-105.4788403,,,
Greenhorn Mountain,12323,37.8814419,-105.0131865,,,
North Peak,12192,37.9014313,-105.032226,,,
Mount Herard,13327,37.8491266,-105.4944793,,,
Mount Zwischen,11883,37.7912548,-105.4553718,,,
Carbonate Mountain,12247,37.6938666,-105.4813357,,,
Slide Mountain,12231,37.6393923,-105.3701036,,,
Twin Peaks,13396,37.5900774,-105.5190616,,,
California Peak,13760,37.6142324,-105.4988059,,,
Iron Nipple,13320,37.5936098,-105.4548716,,,
Mount Lindsey,14055,37.583803,-105.4446957,,,
Ellingwood Point,14057,37.5824644,-105.4926087,,,
Blanca Peak,14350,37.5775609,-105.4855987,,,
Hamilton Peak,13596,37.5581908,-105.4749152,,,
Steep Mountain,12005,37.3412545,-105.1585448,,,
Teddys Peak,12474,37.3409254,-105.1661954,,,
Trinchera Peak,13501,37.2888207,-105.1646339,,,
Culebra Peak,14053,37.1222185,-105.1857672,,,
Red Mountain,13852,37.1122702,-105.1810648,,,
Vermejo Peak,13560,37.0942666,-105.1909788,,,
Purgatoire Peak,13570,37.0725151,-105.2105519,,,
Almagre Mountain,12320,38.7911855,-104.9934459,,,
West Spanish Peak,13524,37.3756661,-104.9936861,,,
East Spanish Peak,12533,37.3933807,-104.9198151,,,
Mount Arps,12356,38.638517,-106.3799303,,,
Greg Mace Peak,12507,38.9981793,-106.8286423,,,
Rinker Peak,13678,39.0367696,-106.4401248,,,
Challenger Point,14080,37.9804151,-105.6066013,,,
Mount Tweto,13583,39.322155,-106.1693687,,,
Mount Sneffels,14155,38.0038447,-107.7922734,,,
Father Dyer Peak,13471,39.4310757,-106.1050089,,,
Twining Peak,13514,39.1347111,-106.5633965,,,
Willoughby Mountain,12995,39.1428257,-106.9950346,,,
Malemute Peak,13159,39.0202457,-106.8440447,,,
Mount Shimer,12224,39.0952613,-106.727803,,,
Precarious Peak,13140,39.016773,-106.9621296,,,
Miranda Peak,13340,37.151239,-105.1666627,,,
Mariquita Peak,13281,37.2376933,-105.152797,,,
De Anza Peak,13281,37.2241423,-105.1590357,,,
Kiowa Peak,12979,40.0477893,-105.6244377,,,
Mount Marcy,13442,38.1460792,-105.6762157,,,
Lakes Peak,13291,38.1998078,-105.7269419,,,
Mount Otto,12808,38.3274668,-105.8823489,,,
Turner Peak,13123,38.819828,-106.3786886,,,
Lambertson Peak,12923,38.9619192,-106.7541066,,,
Tijeras Peak,13399,37.9243792,-105.5403514,,,
Mount Maxwell,13146,37.2491585,-105.1535687,,,
Harts Peak,12428,37.6922117,-107.9894404,,,
Long Trek Mountain,12664,37.385925,-106.6801126,,,
Cuatro Peak,13465,37.2584786,-105.1543781,,,
Francisco Peak,13054,37.1823189,-105.1660234,,,
Beaubien Peak,13127,37.1966389,-105.1663677,,,
Mount Machebeuf,12651,39.7210886,-105.8568768,,,
Mount Rhoda,13346,37.7657739,-107.6054125,,,
Mount Poor,12402,38.6396878,-106.4011875,,,
Mount Helmers,12812,38.6445033,-106.417603,,,
Mount Oklahoma,13789,39.1786227,-106.5061727,,,
Half Peak,13786,37.8641412,-107.4665664,,,
The Spider,12343,39.7092122,-106.3128393,,,
Pecks Peak,13235,38.9750267,-106.3618083,,,
Napoleon Mountain,12454,38.6988511,-106.4645042,,,
Gold Hill,11860,38.7118898,-106.4761282,,,
Darley Mountain,13182,37.9827669,-107.5881045,,,
Trappers Peak,11988,39.941579,-107.2505342,,,
Little Marvine Peaks,11893,39.9830956,-107.3240789,,,
Derby Peak,12133,39.9735892,-107.1253188,,,
Sheep Mountain,12116,39.9225437,-107.1332681,,,
Treasure Mountain,13488,39.0241946,-107.1226861,,,
New York Mountain,12461,39.5083087,-106.6183791,,,
Lone Cone,12533,37.8880251,-108.2557101,,,
Ruffner Mountain,13074,38.0073949,-107.8830736,,,
Iron Mountain,12608,37.9877649,-107.8661643,,,
Middle Peak,13022,37.855238,-108.1125434,,,
Cameron Peak,12083,40.624778,-105.8947235,,,
Mummy Mountain,13330,40.4751891,-105.6236243,,,
Terra Tomah Mountain,12667,40.3765138,-105.748437,,,
Pagoda Mountain,13163,40.2493047,-105.6262588,,,
Sawtooth Mountain,12251,40.1269906,-105.6254444,,,
Chalk Mountain,12011,39.3706493,-106.2000242,,,
Bald Eagle Mountain,11877,39.2519268,-106.4341193,,,
Sievers Mountain,12690,39.1156323,-106.9449042,,,
Smuggler Mountain,11896,39.1460602,-106.7315848,,,
Mount Bethel,12621,39.7099144,-105.8785694,,,
Sherman Mountain,12254,39.7197029,-105.7491623,,,
Pendleton Mountain,12251,39.6823651,-105.7513848,,,
Lenawee Mountain,13123,39.6299475,-105.8550197,,,
Glacier Mountain,12323,39.562606,-105.8782922,,,
Sheep Mountain,12477,39.4996071,-105.8796599,,,
Endlich Mesa,12454,37.5140763,-107.5973787,,,
Graham Peak,12438,37.497218,-107.3761543,,,
Sheep Mountain,11801,38.7323149,-107.376207,,,
Jarosa Mesa,12057,37.9258254,-107.2250431,,,
Silver Mountain,13333,37.8770686,-107.8313584,,,
Flattop Mountain,12093,37.7457377,-107.9482848,,,
Graysill Mountain,12359,37.6759747,-107.8706358,,,
North Eolus,13747,37.6254409,-107.6210325,,,
West Silver Mesa,12569,37.5814736,-107.6281538,,,
Calf Creek Plateau,12644,38.126227,-107.2070515,,,
Sunshine Mountain,12923,38.0011143,-107.5118432,,,
Double Top,12152,38.8866528,-106.8390035,,,
Palmer Mesa,12320,37.8753797,-106.7059813,,,
Snowshoe Mountain,11975,37.7498259,-106.9010481,,,
Table Mountain,11903,37.9994623,-106.7711385,,,
Handkerchief Mesa,11814,37.4905569,-106.6491972,,,
Hogback Mesa,12257,37.5019108,-106.5770364,,,
Little Baldy Mountain,12792,38.0032254,-105.5850182,,,
Napoleon Peak,11831,37.3739753,-105.1687779,,,
Mount Columbia,14075,38.9038441,-106.2974478,,,
Mount Axtell,12018,38.8378919,-107.0366828,,,
Tabeguache Peak,14158,38.6256209,-106.2506089,,,
Crestone Needle,14196,37.9646991,-105.5767188,,,
Crestone Peaks,13970,37.9668399,-105.5853471,,,
Rowe Peak,13360,40.4904179,-105.6454193,,,
Mount Democrat,14154,39.3394723,-106.1398604,,,
Maroon Bells,14163,39.070673,-106.9888603,,,
Mount Blue Sky,14268,39.5881224,-105.6437272,,,
Sunshine Peak,14004,37.9227181,-107.4255595,,,
Red Mountain,12743,37.978653,-107.3335503,,,
Pikes Peak,14109,38.8405839,-105.0449035,,,
Kit Carson Mountain,14167,37.9796989,-105.6026169,,,
Little Bear Peak,14041,37.5665804,-105.4972025,,,
Baker Mountain,12316,40.3815788,-105.9064798,,,
Specimen Mountain,12346,40.4445688,-105.8085034,,,
Thatchtop,12635,40.2791449,-105.6530498,,,
Flattop Mountain,12300,40.3087194,-105.690079,,,
Taylor Peak,13114,40.2746682,-105.6807858,,,
Snowdrift Peak,12172,40.3103706,-105.7430317,,,
Longs Peak,14259,40.2548614,-105.6162397,,,
Storm Peak,13241,40.2655339,-105.6205485,,,
Chiefs Head Peak,13435,40.2490788,-105.6411682,,,
Tanima Peak,12306,40.2194067,-105.6610639,,,
Ouzel Peak,12671,40.1856493,-105.6710414,,,
Copeland Mountain,13058,40.1819398,-105.6463611,,,
Thunderbolt Peak,11880,40.1073811,-105.6688818,,,
Mount Albion,12536,40.0389004,-105.6170423,,,
State Line Peak,12858,36.9962929,-105.2965133,,,
Headwaters Hill,11808,38.3477709,-106.2530695,,,
Atlantic Peak,13760,39.4136091,-106.1257999,,,
La Garita Peak,13632,37.9177869,-106.8414447,,,
Meridian Peak,12339,39.767562,-106.3850405,,,
Columbia Point,13885,37.9790009,-105.5981187,,,
Mount Jasper,12854,39.994655,-105.6831568,,,
Mount Cosgriff,13550,39.097296,-106.4258507,,,
Mount Blaurock,13553,39.0113478,-106.4537136,,,
Ervin Peak,13389,39.0038147,-106.4385641,,,
Chief Cheley Peak (not official),12648,40.3672065,-105.7741756,,,
Cronin Peak,13698,38.6554103,-106.2834426,,,
American Peak,13589,37.8994199,-107.5124755,,,
Mount Mahler,12418,40.4715786,-105.9089858,,,
Spanish Peaks,13524,37.3756226,-104.9936848,,,
Spencer Peak,13005,37.7721823,-107.7028746,,,
Braddock Peak,11946,40.4799772,-105.9129391,,,
Hilliard Peak,13228,39.0242105,-106.9096509,,,
Lavender Peak,13051,37.4415075,-108.0810183,,,
Leahy Peak,13205,39.042016,-106.8380678,,,
Lomo Liso Mountain,13058,37.1718187,-105.1736048,,,
Kuss Peak,13537,39.2899746,-106.1816221,,,
Bridal Peak,13402,37.8777031,-107.7660133,,,
Buffalo Peaks,13287,38.9919922,-106.1244277,,,
Gannett Peak (not official),13110,39.18753,-106.475576,,,
Boskoff Peak,12999,37.855484,-108.0311094,,,
Fowler Peak,13294,37.856894,-108.0116894,,,
